system,split,beam_size,normalization,weight_token_logprob_avg,weight_summac_style_score,weight_factcc_style_score,weight_entity_support_score,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
custom_0097,val_tune,16,zscore,0.0,0.75,1.0,0.5,0.458654,0.239382,0.377727,0.377727,0.321588,0.461517,0.674514,0.485873,23.15625
custom_0098,val_tune,16,zscore,0.0,0.75,1.0,0.75,0.459026,0.239988,0.378206,0.378206,0.32123,0.461517,0.674826,0.485857,23.1875
custom_0067,val_tune,16,zscore,0.0,0.5,0.75,0.5,0.459371,0.240501,0.378589,0.378589,0.320119,0.462687,0.674737,0.485847,23.234375
custom_0036,val_tune,16,zscore,0.0,0.25,0.5,0.25,0.459801,0.240804,0.37898,0.37898,0.319969,0.462705,0.674834,0.485836,23.203125
custom_0072,val_tune,16,zscore,0.0,0.5,1.0,0.5,0.459801,0.240804,0.37898,0.37898,0.319969,0.462705,0.674834,0.485836,23.203125
custom_0092,val_tune,16,zscore,0.0,0.75,0.75,0.5,0.45843,0.238875,0.377412,0.377412,0.323105,0.459599,0.674543,0.485749,23.125
custom_0061,val_tune,16,zscore,0.0,0.5,0.5,0.25,0.459254,0.239241,0.377988,0.377988,0.323173,0.459599,0.674439,0.485737,23.0625
custom_0122,val_tune,16,zscore,0.0,1.0,1.0,0.5,0.459254,0.239241,0.377988,0.377988,0.323173,0.459599,0.674439,0.485737,23.0625
custom_0096,val_tune,16,zscore,0.0,0.75,1.0,0.25,0.456601,0.234727,0.373976,0.373976,0.321575,0.465361,0.668707,0.485215,23.1875
custom_0066,val_tune,16,zscore,0.0,0.5,0.75,0.25,0.456946,0.235239,0.374359,0.374359,0.320465,0.466531,0.668618,0.485205,23.234375
custom_0071,val_tune,16,zscore,0.0,0.5,1.0,0.25,0.456946,0.235239,0.374359,0.374359,0.320465,0.466531,0.668618,0.485205,23.234375
custom_0091,val_tune,16,zscore,0.0,0.75,0.75,0.25,0.456068,0.23439,0.372764,0.372764,0.322823,0.463573,0.669201,0.485199,23.21875
custom_0041,val_tune,16,zscore,0.0,0.25,0.75,0.25,0.45765,0.235782,0.374651,0.374651,0.319799,0.466602,0.669132,0.485177,23.296875
custom_0121,val_tune,16,zscore,0.0,1.0,1.0,0.25,0.455874,0.233964,0.373249,0.373249,0.322742,0.463945,0.668707,0.485131,23.1875
custom_0223,val_tune,16,zscore,0.25,0.75,1.0,0.75,0.456944,0.238259,0.374149,0.374149,0.321092,0.459648,0.674425,0.485055,23.375
custom_0116,val_tune,16,zscore,0.0,1.0,0.75,0.25,0.456462,0.233548,0.3731,0.3731,0.324082,0.461742,0.669138,0.484987,23.21875
