system,beam_size,rougeLsum,factuality_composite
custom_0229,8,0.390942,0.414449
custom_0179,8,0.390832,0.417756
custom_0204,8,0.389691,0.418646
custom_0308,8,0.389429,0.438678
custom_0339,8,0.389386,0.443195
custom_0494,8,0.389236,0.443549
custom_0469,8,0.388953,0.444473
custom_0313,8,0.388472,0.444536
custom_0189,8,0.388046,0.446383
custom_0086,16,0.385968,0.473851
custom_0117,16,0.383828,0.476156
custom_0061,16,0.38256,0.47726
custom_0036,16,0.381141,0.477355
custom_0098,16,0.380758,0.477363
custom_0097,16,0.380279,0.477378
