system,split,beam_size,normalization,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
logprob_only_beam_4,test_final,4,zscore,0.434488,0.202615,0.351161,0.351161,0.152247,0.215907,0.597356,0.321837,25.070312
logprob_only_beam_8,test_final,8,zscore,0.441389,0.208655,0.359198,0.359198,0.145179,0.237634,0.610167,0.330993,24.890625
logprob_only_beam_16,test_final,16,zscore,0.440138,0.206878,0.357115,0.357115,0.131757,0.225088,0.606799,0.321215,24.546875
summac_only,test_final,8,zscore,0.4318,0.198661,0.348028,0.348028,0.247605,0.274134,0.629676,0.383805,24.632812
factcc_only,test_final,8,zscore,0.427798,0.197073,0.35039,0.35039,0.161887,0.39246,0.640729,0.398359,24.929688
logprob_plus_summac,test_final,8,zscore,0.430871,0.199418,0.349372,0.349372,0.236922,0.256065,0.622733,0.371907,24.734375
logprob_plus_factcc,test_final,8,zscore,0.434714,0.20559,0.356214,0.356214,0.16258,0.374972,0.621488,0.386347,24.835938
summac_plus_factcc,test_final,8,zscore,0.430281,0.196222,0.349236,0.349236,0.231775,0.378051,0.635786,0.415204,24.851562
logprob_plus_summac_plus_factcc,test_final,8,zscore,0.43156,0.20005,0.351275,0.351275,0.227758,0.357613,0.626544,0.403972,24.585938
logprob_plus_summac_plus_factcc_plus_entity_support,test_final,8,zscore,0.430287,0.198887,0.34965,0.34965,0.221728,0.36909,0.641929,0.410916,24.703125
