system,beam_size,rougeLsum,factuality_composite
custom_0303,16,0.388957,0.442601
custom_0454,16,0.387997,0.443403
custom_0329,16,0.385677,0.451612
custom_0178,16,0.385625,0.451938
custom_0582,16,0.383374,0.459233
custom_0431,16,0.383202,0.462272
custom_0358,16,0.382786,0.472276
custom_0336,16,0.381983,0.478001
custom_0366,16,0.381596,0.479383
custom_0086,16,0.380795,0.482398
custom_0099,16,0.379442,0.484444
custom_0123,16,0.379356,0.484829
custom_0036,16,0.37898,0.485836
custom_0067,16,0.378589,0.485847
custom_0098,16,0.378206,0.485857
custom_0097,16,0.377727,0.485873
